v,kW
2.5,0
2.5,15
3,33
3.5,60
4,91
4.5,150
5,223
5.5,350
6,496
6.5,630
7,760
7.5,938
8,1116
8.5,1331
9,1545
9.5,1719
10,1892
10.5,2050
11,2191
11.5,2295
12,2350
12.5,2350
13,2350
13.5,2350
14,2350
14.5,2350
15,2350
15.5,2350
16,2350
16.5,2350
17,2350
17.5,2350
18,2350
18.5,2350
19,2350
19.5,2350
20,2350
20.5,2350
21,2350
21.5,2350
22,2350
22.5,2350
23,2350
23.5,2350
24,2350
24.5,2350
25,2350
