v,kW
4,0
4,70
4.5,137
5,203
5.5,310
6,413
6.5,524
7,649
7.5,812
8,1003
8.5,1186
9,1396
9.5,1612
10,1822
10.5,1953
11,2038
11.5,2064
12,2084
12.5,2100
13,2100
13.5,2100
14,2100
14.5,2100
15,2100
15.5,2100
16,2100
16.5,2100
17,2100
17.5,2100
18,2100
18.5,2100
19,2100
19.5,2100
20,2100
20.5,2100
21,2100
21.5,2100
22,2100
22.5,2100
23,2100
23.5,2100
24,2100
24.5,2100
25,2100
